zinc,smile
ZINC85570573,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCC3(CCCC3)C2C2=C3C(CCC2)CC(C2CCC4(O)C5=CC(=O)C6CC(O)C(O)CC6(C6CCCCC6)C5CCC24C)C(O)C31
ZINC33832189,C=C(C)C(CC=C(C)C)Cc1c(O)c(CC=C(C)C)c(O)c2c1OC(c1ccc(O)cc1O)CC2=O
ZINC05359229,CC(C)=CCc1c(O)c(C(=O)C(C)C)c([O-])c2c(-c3ccccc3)cc(=O)oc12
ZINC85532306,CCCCCc1cccc(C2CCC3C2CC2C4C(=CCC[NH+]2C3C(O)C2C=CCC(C3CCCC3)C2)OC(=C2OC(=O)C(C)=C2OC)C4C)c1
ZINC85548521,C[NH2+]C1CCCC(OCC2(O)CC34C(=C2C(=O)[O-])CC(CCC3C)C42C[N+](C(=N)NC3CCCCC3)=CCC2C[NH2+]CCO)C1
ZINC85594184,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3CCC(C(C)C)CC3[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
ZINC85532307,CCCCCc1cccc(CC2CC(C(O)C3C=CCC(C)C3)[NH+]3CCC=C4OC(=C5OC(=O)C(C[O-])=C5OC)C(C)C4C3C2)c1
ZINC85548527,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(COC4CCCC(O)C4)CC32C(C)CC1
ZINC85570577,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCCC2C2=C3C(CCC2)CC(C2CCC4(O)C5=CC(=O)C6CC(O)C(O)CC6(C)C5C(C[NH+]=C(N)N)CC24C)C(O)C31
ZINC85532309,COC1=C(C[O-])C(=O)OC1=C1OC2=CC3(CCCCC3)C[NH+]3C(C(O)C4C=CCC(C5CCCC5)C4)CCCC3C2C1C
ZINC85548532,CNC1=NCC#CC2CC(C)C34CC(O)(COC5CCCC(O)C5)C(C(=O)[O-])=C3CC2C42C[N+]1=CCC2C[NH2+]CCO
ZINC85570579,CC(C)CCCC12CC(O)C(O)CC1C(=O)C=C1C2CCC2(C)C3CC(CSSCC([n+]4cc[nH]c4)CC(C)(C)C(=C4CCCC5(CCCC5)C4)CC(O)C3C)C12O
ZINC85570580,CC12CCC3C(=CC(=O)C4CC(O)C(O)CC34C)C1(O)CCC2C1CC2CCCC3=C2C(C(C2(C)CCCCC([n+]4cc[nH]c4)C2)=C2CCCCC32)C1O
ZINC85570581,CC(C)CCCC12CC(O)C(O)CC1C(=O)C=C1C2CCC2(C)C(C3CC4CCCC5=C4C(C(C(C)(C)CC[n+]4cc[nH]c4)=C4CCCC6(CCCC6)C54)C3O)CCC12O
ZINC85548536,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(COC4CCCC(O)(Cc5ccccc5)C4)CC32C(C)CC1
ZINC85624812,CCCC(=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)CC1(CO)C=C3C(c4cccc(O)c4)CC(C)CC3C2C1COC)CO
ZINC14637370,CC1(C)CCc2cc(C3CC(=O)c4c(O)c5c(cc4O3)OC(C)(C)CC5)ccc2O1
ZINC85532312,COC1=C(C)C(=O)OC1=C1OC2=CCC[NH+]3C(C(O)C4C=CCC(C)C4)CC(Cc4ccccc4)CC3C2C1C
ZINC95910618,COc1cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c(CC=C(C)C)c1OC
ZINC85548540,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(COC4CCCC5C=CC=CC54)CC32C(C)CC1
ZINC40421861,Cc1c2ccoc2cc2c1CC(OC(=O)c1ccccc1)C1(O)C(C)(C)CCCC21C
ZINC85594191,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSCC[NH2+]CCO2)C(CO)(O1)C1(O)C(O)C3(O)C2C3C=CC(O)C2(CO)C=CC31
ZINC85548544,CNC1=NCC#CC2CC(C)C34CC(O)(COC5CCCC6C=CC=CC65)C(C(=O)[O-])=C3CC2C42C[N+]1=CCC2C[NH2+]CCO
ZINC85570584,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCCC3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC21CO
ZINC85594192,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSC4(CCCCC4)C[NH2+]CCO2)C(CO)(O1)C1(O)CC2C=CC(O)C(CO)C2C3(O)C1O
ZINC85624818,CCCC=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC1CC3C=C4C(CC(C)CC4C2C3COC)c2cc(O)cc(c2)Cc2cccc(c2)CNC(N)=[NH+]1
ZINC85594194,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSCC(CCC(C)C)[NH2+]CCO2)C(CO)(O1)C1(O)CC2C=CC(O)C(CO)C2C3(O)C1O
ZINC85548547,C[NH2+]CCNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(COC4CCCC([NH2+]C)C4)CC32C(C)CC1
ZINC85594196,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSCC(CCC(C)C)[NH2+]CCO2)C(CO)(O1)C1(O)CC2CCC(O)C(CO)C2C3(O)C1O
ZINC85570586,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCCC2C2=C3C(CCC2)CC(C2CCC4(O)C5=CC(=O)C6CC(O)C(O)CC6(C)C5CCC24CO)C(O)C31
ZINC85532316,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC3CCC(O)(C4C=CCC(C)C4)C4CCCC(C2C1C)[NH+]34
ZINC85594197,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSCC[NH2+]CCO2)C(CO)(O1)C1(O)C(O)C3(O)C2C3CCC(O)C2(CO)C=CC31
ZINC85532317,COC1=C(C[O-])C(=O)OC1=C1OC2=CC3C=CC4(CCCC5N4C3CCC5(O)C3C=CCC(C)C3)C2C1C
ZINC85570588,CC12C3CC4CSSCC([n+]5cc[nH]c5)CC(C)(C)C(=C5CCCCC5)CC(O)C3CCCCC1CC1C(=CC(=O)C3CC(O)C(O)CC31C)C42O
ZINC85594199,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3(CCCCC3)C(CCC(C)C)[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
ZINC85624827,CCCC(=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)CC1C=C3CCC(C)CC34CCC(OC)C1C24)CO
ZINC85548553,C[NH2+]CCNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(COC4CCCC(O)C4)CC32C(C)CC1
ZINC95910625,CC(=O)CC1CC(C)C(C)(CC(=O)C(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC2=C(C)C(O)C(O)CC2(C)C)O1
ZINC85624830,CCCC(=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CC1C([NH+]=C(N)N)CCC(COC)C2CCC(C)CC#CC1C1(c2ccccc2)CCCCC1)CO
ZINC85532319,CCCCCc1cccc(C2CCC3C2CC2C4C(=CCC[NH+]2C3C(O)C2C=CCC(C)C2)OC(=C2OC(=O)C(C)=C2OC)C4C)c1
ZINC85594202,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSC4(CCCCC4)C[NH2+]CCO2)C(CO)(O1)C1(O)CC2CCC(O)C(CO)C2C3(O)C1O
ZINC85548558,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(C4CCC5CCCCC5O4)CC32C(C)CC1
ZINC85594204,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSCC[NH2+]CCO2)C(CO)(O1)C1(O)CC2C=CC(O)C(CO)C2C3(O)C1O
ZINC42833794,CC1=C(CO)C(=O)OC(C(C)C2CCC3C4C5OC5C5(O)CC=CC(=O)C5(C)C4CCC23C)C1
ZINC85532321,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC[NH+]3C(C(O)C4C=CCC(C5CCCC5)C4)CCCC3C2C1C
ZINC85594205,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSC4(CCCC4)C[NH2+]CCO2)C(CO)(O1)C1(O)CC2C=CC(O)C(CO)C2C3(O)C1O
ZINC85845732,CCCCCC(O)CCCCCC(=O)OCC=Cc1cc(OC)c2oc3cc(OC)cc(O)c3c(=O)c2c1O
ZINC85624837,CCCC=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)CC1C=C3C(c4cccc(O)c4)CC(C)CC34CCC(OC)C1C24
ZINC85594207,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSCC(CCC(C)C)[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
ZINC85532323,COC1=C(C[O-])C(=O)OC1=C1OC2=CC3(CCCC3)C[NH+]3C(C(O)C4C=CCC(C5CCCC5)C4)CCCC3C2C1C
ZINC85570593,C[NH2+]CC1C(O)C(O)CC2(C)C3CCC4(C)C5CC(CSSCC([n+]6cc[nH]c6)CC(C)(C)C(=C6CCCCC6)CC(O)C5C)C4(O)C3=CC(=O)C12
ZINC85594209,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSCC[NH2+]CCO2)C(CO)(O1)C1(O)CC2CCC(O)C(CO)C2C3(O)C1O
ZINC85548568,CCCCCC1CCCCC1OCC1(O)CC23C(=C1C(=O)[O-])CC(CCC2C)C31C[N+](C(=N)NC)=CCC1C[NH2+]CCO
ZINC85594211,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3(CCCCC3)C[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
ZINC85532324,COC1=C(C[O-])C(=O)OC1=C1OC2=CC3C=CC4(CCCC(C(O)C5C=CCC(C6CCCC6)C5)N4C3)C2C1C
ZINC85624843,CCCC(=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)CC1C=C3C(c4cccc(O)c4)CC(C)CC3C2C1COC1CCCCC1)CO
ZINC85548572,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)CCC3C4(O)C(C(=O)[O-])=C5CC6CCC(CCCCC4OC)C53C62C1
ZINC04097796,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(CO)C(=O)CC12C
ZINC85594213,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3(CCCCC3)C[NH2+]CCO2)C2(O)CC3CCC(O)C(CO)C3C1(O)C2O
ZINC85594215,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3(CCCC3)C(CCC(C)C)[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
ZINC85532326,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC3CCC4CCC(C2C1C)[NH+]3C4C(O)C1C=CCC(C2CCCC2)C1
ZINC85548577,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)C=CC3C4(O)C(C(=O)[O-])=C5CC6CCC(CCCCC4OC)C53C62C1
ZINC85594216,CCOC(=O)CCc1cc2ccoc2c2c1OC13C=CC(SSC4(CCCC4)C[NH2+]CCO2)C(CO)(O1)C1(O)CC2CCC(O)C(CO)C2C3(O)C1O
ZINC85570597,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCC3C=CC4CCC5CC(C6CCC7(O)C8=CC(=O)C9CC(O)C(O)CC9(C)C8CCC67C)C(O)C1C5=C4C23
ZINC85594218,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSCC[NH2+]CCO2)C2(O)C(O)C1(O)C1C3C=CC(O)C1(CO)C=CC32
ZINC85548583,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)C=CC3C4(O)C(C(=O)[O-])=C5CC6CCC(CCCCC4=O)C53C62C1
ZINC85594220,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSCC(CCC(C)C)[NH2+]CCO2)C2(O)CC3CCC(O)C(CO)C3C1(O)C2O
ZINC85624853,CCCC(=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)C1C=CC(OC)C3C1C=C1CCC(C)CC1C23)CO
ZINC85548586,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)CCC3C4(O)C(C(=O)[O-])=C5CC6CCC(CCCCC4=O)C53C62C1
ZINC85570599,C[NH2+]CC1C(O)C(O)CC2(C)C3CCC4(C)C(C5CC6CCCC7=C6C(C(C(C)(C)CC[n+]6cc[nH]c6)=C6CCCCC76)C5O)CCC4(O)C3=CC(=O)C12
ZINC38840351,COC1C(=O)c2c(O)c3c(c(CC=C(C)C)c2OC1c1ccccc1O)OC(C)(C)C=C3
ZINC85594222,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3(CCCC3)C[NH2+]CCO2)C2(O)CC3C=CC(O)C(CO)C3C1(O)C2O
ZINC85532329,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC3CSSCC4CCCC4CC(O)C4CC(Cc5ccccc5)CC(C2C1C)[NH+]43
ZINC85570600,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCCC2C2=C3C(CCC2)C2CCC4CC5C(=CC(=O)C6CC(O)C(O)CC65C)C5(O)CCC(C2C(O)C31)C45C
ZINC85548591,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C4(O)CC32C(CC1)CCC1(CCCC1)CC4=O
ZINC85532330,COC1=C(C)C(=O)OC1=C1OC2=CC3(CCCC4(CCCC4)C3)C[NH+]3C(C(O)C4C=CCC(C)C4)CCCC3C2C1C
ZINC85594224,CCOC(=O)CCc1cc2ccoc2c2c1OC1OC(CO)(CSSC3(CCCC3)C[NH2+]CCO2)C2(O)CC3CCC(O)C(CO)C3C1(O)C2O
ZINC85570601,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCCC2C2=C3C(CCC2)CC(C2CC(CCCO)C4(O)C5=CC(=O)C6CC(O)C(O)CC6(C)C5CCC24C)C(O)C31
ZINC85548596,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)CCC3C(O)(COC4CCCCC4)C(C(=O)[O-])=C4CC5CCC(C)C43C52C1
ZINC85532332,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC3CSSCC4CCC5(CCCC5)C4CC(O)C4CCCC(C2C1C)N43
ZINC85624862,COCC1C2C=C3CCC(C)CC3C1c1c(O)c(OC3CCCC3)cc(CCC(=O)C=C(CO)CCC3CCCC3)c1C#CCC([NH+]=C(N)N)C2
ZINC85570603,CC12C3CC4CSSCC([n+]5cc[nH]c5)CC(C)(C)C(=C5CCCCC5)CC(O)C3CCCC1CC1C(=CC(=O)C3CC(O)C(O)CC31C)C42O
ZINC85594227,CCOC(=O)CCc1cc2ccoc2c(OCC[NH2+]C)c1OC1OC(CO)C2(O)C(O)C1(O)C1C3C=CC(O)C1(CO)C=CC32
ZINC85532334,CCC(O)C1C2CCC(c3ccccc3)C2CC2C3C(=CCC[NH+]21)OC(=C1OC(=O)C(C[O-])=C1OC)C3CO
ZINC85548603,CNC(=N)[N+]1=CCC2(C[NH2+]CCO)C=CC3C(O)(COC4CCCCC4)C(C(=O)[O-])=C4CC5CCC(C)C43C52C1
ZINC85624867,COCC1C2C=C3C(c4cccc(O)c4)CC(C)CC3C1c1c(O)c(OC3CCCC3)cc(CCC(=O)C=CCCC3CCCC3)c1C#CCC([NH+]=C(N)N)C2
ZINC85570606,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCCC3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)C5CCC(CC21C)C3C45C
ZINC85532336,COC1=C(C[O-])C(=O)OC1=C1OC2=CC3(CCCCC3)C[NH+]3C(C(O)C4C=CCC(C)C4)CCCC3C2C1C
ZINC85548607,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C4(O)CC32C(CC1)CCCCC4OC
ZINC70450824,O=C([O-])c1cc(O)c2c(c1)C(C1c3cccc(O)c3C(=O)c3c(O)c(C(=O)[O-])ccc31)c1cccc(O)c1C2=O
ZINC85548610,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C4(O)CC32C(CC1)CCCCC4=O
ZINC85624873,CCCC=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)C1C=CC(OC)C3C1C=C1C(c4cccc(O)c4)CC(C)CC1C23
ZINC70450827,CC(=O)OC1CC(=O)OC(C)(C)C2CC(=O)C3(C)C(CCC4(C)C(c5ccoc5)OC(=O)C5OC543)C21C
ZINC85532338,CCCCCc1cccc(CC2CC(C(O)C3C=CCC(C4CCCC4)C3)[NH+]3CCC=C4OC(=C5OC(=O)C(C)=C5OC)C(C)C4C3C2)c1
ZINC85548613,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C23C4CC5=C(C(=O)[O-])C6(O)CC52C(CC4)(CCC13)CCCCC6=O
ZINC85570609,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCCC2C2=C3C(CCC2)CC(C2CCC4(O)C5=CC(=O)C6CC(O)C(O)C7CCC(CC24C)C5C67C)C(O)C31
ZINC95910654,COc1cc(O)cc(O)c1C(=O)C1C(C(=O)c2c(OC)cc(O)cc2OC)C(c2ccccc2)C1c1ccccc1
ZINC85548618,CNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C(O)(COC4CCCCC4)CC32C(C)CC1
ZINC70450834,CCCCCCCCCCCCCCCC(=O)OCC1=CC2C(=O)C3(C=C(C)C(O)C3(O)C1O)CC(C)CC1C2C1(C)C
ZINC85548620,CNC(=N)[N+]1=CCC2(C[NH2+]C)CCC3C4(O)C(C(=O)[O-])=C5CC6CCC(CCCCC4OC)C53C62C1
ZINC70450836,C=C(C)C(O)C(O)CC(C)C1=C2CC(OC(C)=O)C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2(C)CC1
ZINC85548622,CNC1=NCC#CC2CC(C)C34CC(O)(COC5CCCCC5)C(C(=O)[O-])=C3CC2C42C[N+]1=CCC2C[NH2+]CCO
ZINC85570612,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCCC3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC21C
ZINC85594242,CCOC(=O)CCc1cc2ccoc2c(OCC[NH2+]CCCC(C)C)c1OC1OC(CO)C2(O)C(O)C1(O)C1C3C=CC(O)C1(CO)C=CC32
ZINC85532342,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC[NH+]3C(C(O)CC4CCCC45CCCC5)CC(Cc4ccccc4)CC3C2C1C
ZINC85532343,COC1=C(C)C(=O)OC1=C1OC2=CC3(CCCC(Cc4ccccc4)C3)C[NH+]3C(C(O)C4C=CCC(C)C4)CCCC3C2C1C
ZINC85594244,CCOC(=O)CCc1cc2ccoc2c(OC)c1OC1OC(CO)C2(O)C(O)C1(O)C13C=CC=CC1C2C=CC3(CO)CO
ZINC85570614,CC1C2CC(C(CCCO)SSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCCC3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC21C
ZINC85532345,COC1=C(C)C(=O)OC1=C1OC2=CCC3CCC(O)(C4C=CCC(C5CCCC5)C4)C4CCCC(C2C1C)[NH+]34
ZINC85624888,CCCC(=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)CC1C=C3CCC(C)CC3C2C1COC)CO
ZINC85624890,CCCC=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)CC1C=C3C(c4cccc(O)c4)CC(C)CC3C2C1COC
ZINC59777472,CC(C)=CCc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)c(O)c2c1OC(C)(C)C=C2
ZINC85532347,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC[NH+]3C(C(O)C4C=CCC(C)C4)CCCC3C2C1C
ZINC70450852,CC(=O)OC1C(=O)C2C3(C)C(=O)C(O)CC(C)C3CC3(C)OC(=O)CC(C1C)C23C
ZINC70450853,CC(C)(O)C1Oc2cc(O)c3c(=O)c4ccc(O)c(O)c4oc3c2C1Oc1ccc2c(=O)c3c(O)cc(O)cc3oc2c1O
ZINC85508390,COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1[NH3+]
ZINC85532350,COC1=C(C)C(=O)OC1=C1OC2=CC3(CCCCC3)C3CCC(O)(C4C=CCC(C)C4)C4CCCC(C2C1C)[NH+]34
ZINC95910662,CCOC(CC(C)C)c1c(O)c(CC=C(C)C)c(O)c(C(C)=O)c1OC
ZINC13549482,CS(=O)(=O)CCCC(=NOS(=O)(=O)[O-])SC1OC(CO)C(O)C(O)C1O
ZINC70450858,C=C1C(=O)OC2CC(C)C34CC5(C(=O)OC6CC(C)(O)C(CCCCOC(C)=O)=CC65)C(C(C)=C3CC12)C4OC(C)=O
ZINC38433350,CC(=O)OC1C(=O)C2=C(C(=O)CC3C(C)(C)C(=O)CCC23C)C2(C)C(=O)CC(C(C)CCC(=O)[O-])C12C
ZINC85570619,CC(C)(CC[n+]1cc[nH]c1)C1=C2CCCCC2C2=C3C(CCC2)CC(C2CCC4(O)C5=CC(=O)C6CC(O)C(O)CC6(C)C5CCC24C)C(O)C31
ZINC85532353,COC1=C(C[O-])C(=O)OC1=C1OC2=CC3C=CC4(CCCC(C(O)C5C=CCC(C)C5)N4C3)C2C1C
ZINC85548651,C[NH2+]CCNC(=N)[N+]1=CCC(C[NH2+]CCO)C2(C1)C1CC3=C(C(=O)[O-])C4(O)CC32C(CC1)CCCCC4OC
ZINC85624902,CCCC=CC(=O)CCc1cc(OC2CCCC2)c(O)c2c1C#CCC([NH+]=C(N)N)CC1C=C3CCC(C)CC34CCC(OC)C1C24
ZINC85532355,COC1=C(C[O-])C(=O)OC1=C1OC2=CCC3CCC4CCC(C2C1C)[NH+]3C4C(O)C1C=CCC(C)C1
ZINC85570621,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=C3CCCCC3)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C4CCCCC4)C3CCC21C
ZINC85594260,CCOC(=O)CCc1cc2ccoc2c(OCC[NH2+]C)c1OC1OC(CO)C2(O)CC3C=CC=CC3(C(CO)CO)C1(O)C2O
ZINC85532357,CCCCCc1cccc(CC2CC(C(O)C3C=CCC(C)C3)[NH+]3CCC=C4OC(=C5OC(=O)C(C)=C5OC)C(C)C4C3C2)c1
ZINC85570622,CC1C2CC(CSSCC([n+]3cc[nH]c3)CC(C)(C)C(=CCC=O)CC1O)C1(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC21C
ZINC85594262,CCOC(=O)CCc1cc2ccoc2c(OC)c1OC1OC(CO)C2(O)CC3C=CC=CC3(C(CO)CO)C1(O)C2O
